LeadCreated,VendorLeadID,CallStatus,WidgetName,PublisherZoneName,PublisherCampaignName,AddressScore,PhoneScore,AdvertiserCampaignName,State,DebtLevel,Partner,ReferralDomain,MarketingCampaign,AdGroup,Keyword,SearchQuery,QualityGroup,GoodLeadFlag,ClosedLeadFlag,Month,Quarter,Year
09-07-2009,5B16EB56-FC85-4539-A222-60258E30864A,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,2,creditsolutions-branded-shortform,CA,30001-50000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,American debt,american debt association,Unknown,0,0,2009-07,2009Q3,2009
11-04-2009,xd_FmG9keUa92FAuRcX6ZA,Closed,w-300250-DebtReduction1-2DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,IL,70001-90000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Debt stoppers,debt stoppers,Closed,1,1,2009-04,2009Q2,2009
26-07-2009,A6C61608-19EB-4F90-A8D4-8C29280B74A8,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,2,creditsolutions-branded-shortform,MO,30001-50000,Google,pagead2.googlesyndication.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
07-07-2009,9D89D069-7E87-454E-8556-0105E0BA1DCB,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,,3,Debt Settlement1 Master,TX,10001-15000,Google,businessmajors.about.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
16-09-2009,65E50085-0531-47C9-A2E8-89E698E7CEB7,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,4,creditsolutions-branded-shortform,MA,7500-10000,google,www.google.com,Debt General,Loan Default,Loan default help,default student loan assistance,Unknown,0,0,2009-09,2009Q3,2009
05-05-2009,F661FEF5-0ADE-455D-B449-E46D627C248A,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MO,More_than_100000,google,www.google.com,Debt General,Student Debt,Student loan default,student loan consolidation default,Unknown,0,0,2009-05,2009Q2,2009
24-04-2009,827A85C3-E7C6-41C0-92FC-B7FE56D377CF,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,30001-50000,Google,googleads.g.doubleclick.net,DebtReductionInc,Stop Collections,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
01-08-2009,E995503A-B1EC-42AF-A4B2-916CD0F1D4C1,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,1,5,creditsolutions-branded-shortform,NY,20001-30000,yahoo,www.bediddle.com,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
29-07-2009,46F26797-2E0B-41EE-AE79-995830791D0F,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,1,5,creditsolutions-branded-shortform,AZ,10001-15000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,http://www.mydollarplan.com,Unknown,0,0,2009-07,2009Q3,2009
15-06-2009,W_OMDfYIzEOYdqLcebFp9A,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,20001-30000,AdKnowledge,intellimatch.org,Financial Services,Consolidate,Unknown,Unknown,Bad,0,0,2009-06,2009Q2,2009
28-07-2009,A4D63FCD-F9CD-4CDF-A608-735F6C6E277E,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,FL,10001-15000,yahoo,search.yahoo.com,DebtReductionInc,Lower Payments,Unknown,LOWER MY MORTGAGE,Unknown,0,0,2009-07,2009Q3,2009
19-08-2009,8B3989FB-57C4-495E-94BD-AD19D0B965ED,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,IN,7500-10000,google,www.usatoday.com,Debt General,Loan Default,Loans in default,college loan default money from gov,Unknown,0,0,2009-08,2009Q3,2009
23-04-2009,391FD874-FBD3-4743-B25B-85E240814D96,Unknown,w-300250-DebtReduction1-2DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,CA,20001-30000,yahoo,search.yahoo.com,DebtReductionInc,General Debt,Unknown,champion debt relief,Unknown,0,0,2009-04,2009Q2,2009
19-08-2009,FDBF68EE-EE7D-4434-838B-FC681A0C2E6A,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,LA,More_than_100000,AdKnowledge,us.mc558.mail.yahoo.com,Financial Services,Consolidate,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
13-09-2009,6C6C2CB3-E086-42B6-A159-AD5D92A006CC,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,AL,70001-90000,google,www.google.com,Credit,Credit Card Debt,Credit card debt help,www.creditcarddebthelp.com,Unknown,0,0,2009-09,2009Q3,2009
21-04-2009,E9AEEB3D-8143-4DF0-B3CF-7AF9E382FE55,Unknown,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,7500-15000,yahoo,search.yahoo.com,state,Debt Advice,Unknown,debt advizor of texas,Unknown,0,0,2009-04,2009Q2,2009
27-04-2009,F31904C4-E6B8-4B2E-B622-E796F2E7435C,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,IL,30001-50000,Google,www.ehow.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
12-05-2009,512825DE-21E4-4626-9F95-F450FFFBB1F6,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,20001-30000,google,www.thecenter4debtmanagement.com,Debt Holding Tank,Holding Tank - Debt,Debt busters,Unknown,Unknown,0,0,2009-05,2009Q2,2009
18-06-2009,HAXhknWAxUOd9PO6Mr-CzA,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,MD,70001-90000,yahoo,www.lawyer.com,state,Filing Bankrupcy,Unknown,Unknown,Closed,1,1,2009-06,2009Q2,2009
18-06-2009,3XJcfZ3zAUC6gFfcbcnL-g,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,20001-30000,yahoo,Unknown,DebtReductionInc,Debt Consolidation - high volume,Unknown,Unknown,Closed,1,1,2009-06,2009Q2,2009
24-04-2009,5ED972E6-A744-4A3A-9092-98AE7A7C1A20,Unknown,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,7500-15000,Google,www.ehow.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
09-06-2009,zPtijRN6X0S1I_BIh3KyeQ,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,AZ,7500-10000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Debts,looking for old debts and how to fix them,Closed,1,1,2009-06,2009Q2,2009
16-05-2009,DF3D390E-A75C-4611-996D-2B8AEE6581D2,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,AZ,20001-30000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Debt law,debt law,Unknown,0,0,2009-05,2009Q2,2009
23-07-2009,3DD3DE52-BE4B-470B-B2B2-EE479CDA602C,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,3,3,Debt Settlement1 Master,WA,10001-15000,Google,googleads.g.doubleclick.net,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
10-05-2009,CED101FC-1B15-47C8-BFB8-C6CF0C7DE9F5,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,CA,50001-70000,yahoo,www.findstuff.com,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
11-05-2009,52993C67-B22E-430B-A9BB-3FB2AEC1DE67,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,15001-20000,Google,ezinearticles.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
17-08-2009,29621A08-340C-44F7-A2C7-C442DA7409BE,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,1,3,Debt Settlement1 Master,HI,7500-10000,Google,www.allexperts.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
23-06-2009,34C40373-DBF8-458E-821D-29810D82B107,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,NM,20001-30000,Google,googleads.g.doubleclick.net,state,Debt Reduction,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
16-06-2009,A208FCCD-A31B-450C-A77E-E922754ED9CE,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,30001-50000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
15-05-2009,cioZbOIO30efILKnesQcpA,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,20001-30000,yahoo,guide-1.net,DebtReductionInc,Credit Card Debt,Unknown,Unknown,Bad,0,0,2009-05,2009Q2,2009
03-09-2009,wbig4gPOxUmwE1Wc7swZ0w,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,IL,10001-15000,yahoo,search.yahoo.com,DebtReductionInc,Credit Card Reduction,Unknown,reducing credit card interest,Bad,0,0,2009-09,2009Q3,2009
31-05-2009,T_-ZgXETh0KOZxD5t_PqpA,EP Received,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,VA,20001-30000,yahoo,search.yahoo.com,DebtReductionInc,General Debt,Unknown,debt relief,Good,1,0,2009-05,2009Q2,2009
05-05-2009,761FCE39-1412-45AE-8783-7AB73455B3C6,Unknown,w-300250-DebtReduction1-1DC-Head3,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,20001-30000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Firstamericandebtrelief,firstamericandebtrelief.com,Unknown,0,0,2009-05,2009Q2,2009
25-09-2009,344C40FB-FFD6-4A25-AC37-3BF0A68EBE07,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,IL,7500-10000,yahoo,search.yahoo.com,DebtReductionInc,Get Out Of Debt,Unknown,how to get rid of debt,Unknown,0,0,2009-09,2009Q3,2009
21-09-2009,709C9477-EEAA-4295-B733-EA518435DEE4,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,FL,10001-15000,google,www.google.com,Debt Volume,Debt,Debt,debt free stimulus,Unknown,0,0,2009-09,2009Q3,2009
16-04-2009,2ehK2t13xEOxyIG35O4E_A,Closed,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,CA,20001-30000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Rescue debt,rescue debt,Closed,1,1,2009-04,2009Q2,2009
21-05-2009,97274C09-981E-40A5-BE0F-DC821FA46E68,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,CA,30001-50000,yahoo,search.yahoo.com,DebtReductionInc,Get Out Of Debt,Unknown,ways to get out of debt,Unknown,0,0,2009-05,2009Q2,2009
20-05-2009,67CE71A8-854D-4F88-8F11-FA377ADFDDCA,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,20001-30000,google,www.google.com,Debt General,Student Debt,Student loan default,how to fix student loan default,Unknown,0,0,2009-05,2009Q2,2009
03-08-2009,SyQ0iMyVrUS3WMUvyhP5mw,EP Confirmed,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,VA,20001-30000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Good,1,0,2009-08,2009Q3,2009
30-04-2009,3B4EEB7D-B821-494C-A24B-59DA3BB49A6F,Unknown,w-300250-DebtReduction1-2DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,PA,90000-100000,Google,search.mywebsearch.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
16-04-2009,90EA0913-8609-48D5-9C90-D9F2B3192781,Unknown,w-300250-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,VA,7500-15000,yahoo,wwwwz.websearch.verizon.net,DebtReductionInc,Debt Program,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
20-04-2009,8D847AB0-9FA0-4947-9AB0-1718E1387836,Unknown,w-300250-DebtReduction1-1DC-Head3,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,VA,30001-50000,AdKnowledge,us.mc632.mail.yahoo.com,Financial Services,Consolidate,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
14-08-2009,m2x3hQ-Nok2L3duQ2OSPtQ,Closed,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,NY,10001-15000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,American debt,american debt association,Closed,1,1,2009-08,2009Q3,2009
14-09-2009,522D0476-7882-49F8-BFAD-A9F7B30EA94F,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,VA,30001-50000,google,search.earthlink.net,Debt Volume,Debt,Debt,creditcard debt,Unknown,0,0,2009-09,2009Q3,2009
23-04-2009,90514F58-1045-4661-A613-8A6B7300176B,Unknown,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,7500-15000,yahoo,search.yahoo.com,DebtReductionInc,Lower Payments,Unknown,how to refinance a car loan,Unknown,0,0,2009-04,2009Q2,2009
16-08-2009,8676CFCB-F16B-4AD7-A17C-346122855098,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,3,4,creditsolutions-branded-shortform,AR,15001-20000,yahoo,Unknown,DebtReductionInc,Student Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
19-09-2009,6648EFDA-8626-469D-A0EE-E979AAE21F68,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,MA,90000-100000,Google,ezinearticles.com,DebtReductionInc,Credit Card Debt,Unknown,Unknown,Unknown,0,0,2009-09,2009Q3,2009
11-06-2009,2032F149-6FDC-4635-B098-624F47638F2C,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,CA,20001-30000,yahoo,search.yahoo.com,DebtReductionInc,Debt Consolidation,Unknown,debt consolidation vs bankruptcy,Unknown,0,0,2009-06,2009Q2,2009
09-04-2009,1572D355-96BA-44BE-B218-B386B2581834,Unknown,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,IL,20001-30000,Google,googleads.g.doubleclick.net,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
19-06-2009,4567C30D-759E-4A1E-A71C-E53F3D754CD9,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,7500-10000,yahoo,search.yahoo.com,DebtReductionInc,Lower Payments,Unknown,how do i lower my car payment,Unknown,0,0,2009-06,2009Q2,2009
17-06-2009,5931445C-EFB7-4E0A-A0E8-E13F06DCAD1B,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,7500-10000,Google,ezinearticles.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
26-06-2009,995EA2B3-3082-4363-BA22-C03A5927EC69,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,5,Debt Settlement1 Master,TX,30001-50000,google,googleads.g.doubleclick.net,Debt Volume_TX,Online Settle,Internet debt settlement,Unknown,Unknown,0,0,2009-06,2009Q2,2009
12-08-2009,D531A78F-F8F7-4419-A59A-6BE36D65C25C,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,MD,50001-70000,google,www.google.com,Debt Volume,Debt,Debt,"best way to pay 61,000 in debt",Unknown,0,0,2009-08,2009Q3,2009
30-04-2009,AF77C867-9599-46D8-BD1B-AA38919CDF04,Unknown,w-300250-DebtReduction1-2DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NM,15001-20000,Google,www.wisegeek.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
25-08-2009,7BEA39CB-AB91-4228-B826-166E1E21A896,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,CA,90000-100000,google,www.google.com,Debt General,Lower Payments,Credit card payments,chase.com/credit card payment,Unknown,0,0,2009-08,2009Q3,2009
07-08-2009,LA3PYXmrqEaNBNu1a6W6Jw,Contacted - Invalid Profile,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,1,2,Debt Settlement1 Master,MI,10001-15000,yahoo,search.yahoo.com,state,Credit Card Debt Consolidation Loan,Unknown,credit card debt consolidation loan in michigan,Bad,0,0,2009-08,2009Q3,2009
